Zone,Plant,Height,Placement,How Many,Arrangement
Sunrise Cloud,Cosmos ‘Apricotta’,Mid-tall,Middle,3,Gentle line or loose arc
Sunrise Cloud,Zinnia ‘Oklahoma Pink’,Mid,Middle,3,Line or small cluster
Sunrise Cloud,Dahlia ‘Bantling’,Low-mid,Middle,2,Small group
Sunrise Cloud,Lizzy Dwarf Gladiolus,Short-mid,Front/Middle,3,Clustered line
Sunrise Cloud,Chamomile (Roman),Short,Front,4,Edge line or sprinkle
Sunrise Cloud,Candy Cane Stripe Zinnia,Mid,Middle,2,Tight cluster
Sunrise Cloud,Lemon Balm (in pot),Short,Front Corner,1,Pot placement
Sunrise Cloud,Calendula ‘Pink Surprise’,Mid-low,Front,2,Loose cluster
Berry Patch,Dahlia ‘Otto’s Thrill’,Tall,Back,2,Staggered line
Berry Patch,Snapdragon ‘Appleblossom’,Tall,Back,3,Evenly spaced line
Berry Patch,Zinnia ‘Benary’s Giant Coral’,Tall,Back,2,Line or triangle
Berry Patch,Zinnia ‘Macarenia’,Mid,Middle,3,Loose group
Berry Patch,Cosmos ‘Candy Stripe’,Mid-tall,Middle,2,Arc or diagonal
Berry Patch,Pacific View Dahlia,Mid,Middle,2,Small triangle
Berry Patch,Calendula ‘Pink Surprise’,Mid-low,Front,3,Edging drift
Berry Patch,Parsley (Flat Leaf),Low,Edge,1,Pot or corner plant
Spice Drift,Zinnia ‘Redman Super Cactus’,Tall,Back,3,Flame-like line
Spice Drift,Cosmos ‘Mandarin Orange’,Mid,Middle,3,Loose scatter
Spice Drift,Snapdragons (deep tones),Tall,Back,3,Vertical line
Spice Drift,Dahlia ‘Advance’,Mid-tall,Middle,2,Offset pair
Spice Drift,Calendula ‘Sunset Mix’,Mid-low,Front,3,Wavy drift
Spice Drift,Marigold ‘Amber Glow’,Short,Front edge,3,Cluster
Spice Drift,Basil or Sage,Short-mid,Corners,2,Flanking edges
Moonlit Meadow,Cosmos (white),Tall,Back,3,Line or arc
Moonlit Meadow,Chamomile (Roman),Short,Front,4,Border line
Moonlit Meadow,Zinnia (white),Mid-tall,Middle,3,Triangle
Moonlit Meadow,Borage,Mid,Middle,2,Loose group
Moonlit Meadow,Snapdragons (white/blush),Tall,Back,3,Mixed line
Moonlit Meadow,Yarrow ‘Summer Berries’ (white),Mid,Middle,2,Pair or drift
Moonlit Meadow,Lavender ‘Vera/Munstead’,Short-mid,Front/Mid,2,Small clump
Twilight Hollow,Joe Pye Weed,Tall,Back,2,Majestic line
Twilight Hollow,Coneflower ‘Parrot/Pink Double Delight’,Mid-tall,Middle,3,Arc
Twilight Hollow,Poppy ‘Purple Peony/Lilac PomPom’,Mid,Middle,3,Loose scatter
Twilight Hollow,Cosmos ‘Sea Shells’,Tall,Back,2,Line
Twilight Hollow,Snapdragon (lavender/purple),Tall,Back,3,Tall arc
Twilight Hollow,Tweedia ‘Heavenly Blue’,Vining,Middle/back,1,Trellis/edge
Twilight Hollow,Lavender ‘Hidcote Blue’,Short-mid,Front,2,Curve
Twilight Hollow,Hyssop,Tall,Back/Mid,2,Vertical contrast
