Zone (North to South),Row (East to West),Planting
Zone A,Row 1,Creeping Phlox
Zone B,Row 1,Chamomile
Zone D,Row 1,Calendula
Zone E,Row 1,Snapdragons
Zone A,Row 2,Johnny Jump Ups
Zone B,Row 2,Chamomile
Zone C,Row 2,Pink Dandelion
Zone D,Row 2,Bachelor Buttons
Zone E,Row 2,Nasturtiums/Marigolds
Zone A,Row 3,River Start
Zone C,Row 3,Cosmos
Zone D,Row 3,Cosmos
Zone A,Row 4,Coneflower (Marm.)
Zone B,Row 4,River Flow
Zone C,Row 4,Coneflower (Parrot)
Zone D,Row 4,Yarrow
Zone E,Row 4,Coneflower (Pink D.)
Zone A,Row 5,Tweedia
Zone B,Row 5,Edgeworthia
Zone C,Row 5,River Flow
Zone D,Row 5,Zinnias
Zone D,Row 6,River Flow
Zone A,Row 7,Joe Pye Weed
Zone B,Row 7,Goldenrod
Zone C,Row 7,Broadleaf Hydrangea
Zone E,Row 7,River Exit
Zone A,Row 8,Joe Pye Weed
Zone C,Row 8,Broadleaf Hydrangea
Zone D,Row 8,Milkweed
Zone A,Row 9,Goldenrod
Zone C,Row 9,Broadleaf Hydrangea
Zone E,Row 9,Butterfly Bush
Zone E,Row 10,Butterfly Bush
